{'label': '5'},"{'label': '小中大型餐饮都可以用的一款采购软件，质量有保障，售后更全面', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '我不知道你们快驴怎么想的？买的青菜要个农检证能不能给？每次下单每次备注，每次送来都没有。你们农检证是金子做的吗？每次收货每次挨骂，一个农检证真的那么难吗？我真的没有勇气再用快驴了，再也不见！', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '很久没用APP，突然门店有人下单问我放在哪里。我傻了。很久没用这个账号了，门店信息换了之后还留得我的收货电话。后来说信息忘了改严重失职', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '注册都注册不了，所谓的审核根本没人管。直接卸载，永不使用。', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '真的烂', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '便宜是便宜，质量差劲得很，在上面拿滴大豆油，根本就没办法用，熬着都有一股子馊味', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '这平台除了收钱积极，售后堪忧、没有解决问题的能力。退个货找那个多理由搬那么多平台规定最后还是不给退，给一颗心都嫌多', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '无语了，商品问题，责任人各个推来推去', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '东西都发臭了，司机还泻下来，叫他带走不带，说要联系客服才能退货。垃圾公司。', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '无语', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '收个账号', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '菜送过来都烂了，要业务员处理，业务员要我联系400客服，客服各种推诿，客服和业务员都不能处理售后，请问敢用吗？我还是建议用美菜，之前有人处理售后问题', 'attributes': {'type': 'text'}}"
{'label': '1'},"{'label': '看了下面的评论下了试试，结果售后慢不说，销售爱理不理，又不是只有你一家平台。以前觉得美菜不好，现在突然觉得美菜好多了', 'attributes': {'type': 'text'}}"
{'label': '5'},"{'label': '现在买菜都用快驴了，真的方便也便宜，而且菜比美菜的新鲜多了，真的让我省事又方便了，赞。', 'attributes': {'type': 'text'}}"
